identifier,legacy_identifier,name,birthplace,nationality,gender,locations - invasion,locations - internments,locations - liberation - date,locations - liberation - location,locations - liberation - by,date,recording location,recording languages,recording duration,recording spools,audio - file,audo - mime-type,"credits - who, role",commentary - text,commentary - attribution
janis-b,bJanis,Janis B.,"Rīga, Latvia",Latvia,male,"Rīga, Latvia",Danzig,1945-05-01,"Hamburg, Germany","",1946-09-24,"München, Germany",Russian,00:26:09.123,"9-152B, 9-153A",bJanis_9-152B_9-153A_SLP.mp3,audio/mp3,"Roy Cochrun, Transcription, Roy Cochrun, Translation",none,none
janis-kalnietis,kalnietisJ,Janis Kalnietis,"Rūjiena, Latvia",Latvia,male,"Rūjiena, Latvia","",unknown,"Brunnau, Germany",United States,1946-09-21,"München, Germany","Russian, Latvian",00:20:47.895,9-142B,kalnietisJ_9-142B_SLP.mp3,audio/mp3,", Transcription, , English Translation",none,none
jaques-matzner,matznerJ,Jaques Matzner,"Wiesbaden, Germany",Poland,male,"Antwerpen, Belgium","Le Vernet, Drancy, Gogolin, Fürstengrube, Gleiwitz, Hirschberg, Wüstegiersdorf, Góra Wlodarz, Bergen-Belsen, Barth",unknown,"Barth, Germany",Russia,1946-09-26,"Wiesbaden, Germany",German,01:09:14.488,"9-163, 9-164A",matznerJ_9-163_9-164A_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Jaques Matzner’s parents were among the 70,000 Polish Jews who had come to Germany before World War I in search of economic opportunities and refuge from Polish anti-Semitism. Germany, like most European countries at that time, naturalized foreigners only in exceptional cases. Hence Matzner bore his parents’ Polish citizenship even though he had been born in Wiesbaden in 1914.</p><p>In 1938 the Polish Jews in Germany were the first large group forcibly deported from the Third Reich, and Matzner was among them. But family ties could not be so easily broken, and he did not stay in Poland. Determined to save his parents and get his family to a safe haven, he undertook the risky business of smuggling himself back to Wiesbaden where he witnessed the Kristallnacht (literally, “Crystal Night,” also known as the “Night of Broken Glass”) pogrom of November 9-10, 1938. This was the Nazi response to the act of another son of Polish Jews expelled from Germany. Hershel Grynszpan, who had been sent to Paris by his parents, heard of their harsh treatment by German and Polish officials at the border, and murdered a German diplomat in Paris as an act of revenge.</p><p>Although Matzner’s family succeeded in escaping to Belgium, Hitler’s westward invasions overtook them in 1940. His aged mother died in Antwerp and hence was spared deportation and gassing, the usual fate of old people in the Holocaust. Matzner was trapped in France, and in 1941 he was included in the thousands of Jewish refugees handed over by the Vichy regime to the Germans. Then began a four-year trek through forced labor camps in Lower and Upper Silesia, beginning with several of the Organization Schmelt camps, continuing with the construction of satellite installations for the Gross-Rosen concentration camp empire, and ending in the Heinkel Aircraft factory near Wismar in northern Germany. Matzner reminds us once again of the important distinction between Jewish camp trusties and non-Jewish job foremen that marked life in several of the camps. Probably crucial to his survival was selection as a camp clerk, made possible by his business experience and his fluency in German. His father, a brother, and two sisters did not survive, however.</p><p>Matzner was liberated by the Russians in May 1945 and, following his recovery from intestinal typhus in a Russian hospital, returned to Wiesbaden. Far from rejecting the thought of a future for Jews in Germany, he appeared committed to staying. At the time he gave his interview on Rosh Hashana 1946 in the rehabilitated Wiesbaden synagogue, he was actively working to restore the local Jewish community with the support of the UNRRA. And yet, four years later he and his wife emigrated to the United States. Later he penned a memoir of the Holocaust that was published after his death in 1986.  From it we learn several things about its author that he did not share with Boder, including the fact that he studied in Jerusalem in the 1930s, was ordained a rabbi in 1938, and then returned to Wiesbaden to be with his parents. </p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
jean-louis-kahn,kahnJ,Jean Louis Kahn,"Paris, France",France,male,unknown,"",unknown,"","",1946-08-21,"Paris, France","French, English",00:24:49.815,9-56A,kahnJ_9-56A_SLP.mp3,audio/mp3,"Deborah Joyce, Transcription, Deborah Joyce, English Translation, Elliot Lefkovitz, Footnotes","<p>Jean Kahn was only ten years old when France capitulated to Nazi Germany in 1940. He was the youngest member of his family to endure the trials and tribulations of the Occupation. In his interview, Jean recounts the daring escape he, his mother, and elder brother, Pierre, made across the Pyrenees mountains into neutral Spain in October 1943. They were among the some 30,000 Jews from France who made this difficult journey during the war years. They went without a guide and like most other Jewish escapees arranged their trip independently, without the aid of a rescue organization.</p><p>The Kahns were fortunate in their timing, because after the German occupation of southern France on November 11, 1942 (following the Allied landings in North Africa several days earlier), the Spanish expelled few refugees who managed successful border crossings. By the fall of 1943, when the Kahns crossed into Spain, it was obvious that the Germans were losing the war, and the Allies had put pressure on Spain earlier that year not to turn away refugees who had crossed the Spanish border—provided that they would leave the country for another destination without delay. One estimate is that between the summer of 1942 and the fall of 1944, some 7,500 Jews found temporary refuge in Spain.</p><p>This interview is part of a group of interviews with the eminent Kahn family and their chauffeur taken in Paris on August 21, 1946 during an evening at the home of Admiral Louis Kahn. The interviews were conducted in the following order: Abraham Schramack (Mrs. Kahn’s father), Jean Kahn (the family’s younger son) Anne Marcelle Kahn, and her husband, Admiral Kahn. These are followed by an interview with the family’s chauffeur, Charles Jean, who during the German occupation was in the French resistance. The Kahns were among the approximately 150,000 French Jews who had deep roots in France. (Another 200,000 Jews in France during the Holocaust were more recent immigrants.) Despite their long-standing residence in France, the Kahn family lived a precarious existence during the Occupation. Due to his service in the French navy, Admiral Kahn was separated from his family at the start of the war and was not in France during the war years.</p>",Elliot Lefkovitz
jola-gross,grossJ,Jola Gross,"Niznii Verezky, Czechoslovakia",Czechoslovakia,female,unknown,"Mukachevo Ghetto, Auschwitz",unknown,"Sudety Region, Czechoslovakia",Russia,1946-08-03,"Paris, France",German,00:31:19.954,9-19,grossJ_9-19_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
joseph-ferber,ferberJ,Joseph Ferber,"Brody, Ukraine",Poland,male,"Kraków, Poland","",1945-07-06,"Chernivtsi, Ukraine","",1946-09-08,"Bellevue, France",Yiddish,00:31:27.320,9-117,ferberJ_9-117_SLP.mp3,audio/mp3,"David P. Boder, Translation, Elliot Lefkovitz, Footnotes","<p>Joseph Ferber was born in the town of Brody, then in eastern Poland. After completing his schooling, he went to the city of Kraków where he worked as bookkeeper. When World War II began, he returned to Brody, which fell under Soviet rule in accordance with the terms of Nazi Soviet Pact. Following the German invasion of the Soviet Union, Mr. Ferber was drafted into the Red army, in which he served bravely for four years. He fought in a number of battles, including the heroic defense of Stalingrad.</p><p>Following his demobilization, Mr. Ferber returned to Brody, but found the town destroyed and no trace of his family. He then went to the town of Zakopane where he served as the chief security officer for a home of Jewish orphans who had been rescued during the war by sympathetic Christians. With the help of Jewish refugee relief organizations, Mr. Ferber, the children and the orphanage staff made their way to Paris from where they hoped to emigrate to Palestine, a desire shared by many survivors at the time who saw their future in an independent Jewish homeland. Mr. Ferber’s interview reflects his strongly held socialist and Zionist viewpoints.</p>",Elliot Lefkovitz
joseph-last-name-unknown,joseph,Joseph [last name unknown],"Drohobych, Ukraine",Poland,male,"Drohobych, Ukraine","",unknown,"","",1946-09-25,"Wiesbaden, Germany","Yiddish, German",00:31:26.981,9-158B,joseph_9-158B_SLP.mp3,audio/mp3,", Transcription, Khane-Faygl Turtletaub, English Translation",none,none
judah-golen,golenJ,Judah Golen,"Yerushalayim, Palestinian Territory",Palestine,male,"","",unknown,"","",1946-09-26,"Wiesbaden, Germany",English,01:42:16.659,"9-160, 9-161, 9-162",golenJ_9-160_9-161_9-162_SLP.mp3,audio/mp3,"David Palmer, Transcription",none,none
julian-weinberg,weinbergJ,Julian Weinberg,"Łódź, Poland",Poland,male,unknown,Lódź Ghetto,1945-01-19,unknown,Russia,1946-08-17,"Paris, France",German,00:39:44.091,9-49,weinbergJ_9-49_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation","<p>Julian Weinberg, forty-nine years old at the time of the German conquest of Poland in 1939, was managing director of the electric power plant in Łódź, a post he resumed after liberation in 1944. Evidently he was visiting Paris at the time of his interview and planned to return to Poland. For some unexplained reason he was prepared to grant only half an hour for his interview. When a spool ran out as his story neared its end, there was no follow-up. This is a pity, because Weinberg experienced the entire span of the Łódź ghetto and was one of only a few hundred Jews who escaped its liquidation in August 1944.</p><p>Short though it is, Julian Weinberg’s story offers some glimpses into the fate of Łódź Jewry, including its terrorization by ethnic Germans in the first months of Nazi rule and the frantic rush of Jews to escape the terror by moving into the ghetto created in April 1940. Evidently the Germans had succeeded in making it look attractive to at least some inhabitants of Łódź, because Weinberg had to prove that his son was who he said he was and not some Polish orphan seeking a “free ride” to the ghetto. The interview also reveals how the Nazis skillfully lied to the Jews to secure their cooperation at various points, including their final removal from the ghetto, ostensibly to workplaces in Germany, but actually to the gas at Chelmno and Auschwitz.</p><p>Julian recalls work in the ghetto as being “a kind of silent sabotage” of the Germans as well as of the Jewish Council, widely viewed as corrupt by the mass of Jews. His job in the furniture shop explains why he was one of some 800 Jews exempted from the final evacuation of the ghetto to clear it of valuables, including furniture in need of repair. As the Russian army approached he was among those with the wit to go to ground and evade German death squads that combed the ghetto.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
julius-kluver,kluverJ,Julius Klüver,"Dniprovs'ke, Ukraine",Ukraine,male,"Zaporozhye, Ukraine","",unknown,"München, Germany",United States,1946-09-19,"München, Germany",German,00:29:10.800,9-132,kluverJ_9-132_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
jurek-kestenberg,kestenbergJ,Jurek Kestenberg,"Warsaw, Poland",Poland,male,unknown,"Warsaw Ghetto, Majdanek, Skarżysko-Kamienna, Buchenwald",unknown,"Weimar, Germany",United States,1946-07-31,"Fontenay-aux-Roses, France","Yiddish, German",01:02:34.893,"9-11, 9-12A",kestenbergJ_9-11_9-12A_SLP.mp3,audio/mp3,"David P. Boder, English Translation","<p>The power of family ties during the Holocaust, especially for very young Jews, can scarcely be exaggerated. Jurek Kestenberg escaped from a German deportation train, recovered from a gunshot wound with the help of a compassionate Polish peasant, but made his way back to his parents in the Warsaw ghetto in 1943, well after it had become known that the Germans were exterminating Jews at Treblinka. Jurek’s age was difficult to determine; he said he was twelve when the Germans attacked Poland, thirteen in 1943 when he was sent to Majdanek, and seventeen at the time of his 1946 interview. His confusion was understandable after a long period during which he lied about his age to assure being assigned to work. He was the only child of a Warsaw Jewish industrialist and his wife. Their factory had been bombed by the Luftwaffe in 1939, but their savings sufficed to see them through ghettoization, build and maintain a hiding place in the ghetto, and spirit a five-year-old relative into hiding with Gentiles. Jurek told of his escape from the train and his return to the Warsaw ghetto as an afterthought to his memories of the ghetto uprising, which he spent in hiding with his family. In fact, the earlier events may be the most telling part of his story.</p><p>Following the suppression of the Warsaw ghetto uprising in May 1943, Kestenberg was sent to Majdanek together with his parents. There his mother was separated from her husband and son and probably perished. During the short time the two males remained at Majdanek, they worked on the Scheisskommando that carried human excrement from the cesspools to the camp gardens. Although it is sometimes argued that the SS left members of this work detail alone in order to avoid contact with the filth and smell, Jurek’s interview shows that the guards found ways of tormenting them as they struggled with the unwieldy vats. Then Jurek and his father were sent to work at the giant HASAG ammunition factories at Skarżysko-Kamienna. There Jurek watched his father sicken and die from overwork and undernourishment, the fate of thousands more like him.</p><p>As the Russians approached Skarżysko late in July 1944, the Germans evacuated his work group to Buchenwald. Jurek evaded the evacuation of Jews from Buchenwald in April 1945 with the help of a Czech block senior. Resettled in France with the help of Jewish charities, he was studying to be a dental technician in Paris and living in the ORT home at Chateau de Boucicaut at the time he gave his interview.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
jurgen-bassfreund,bassfreundJ,Jürgen Bassfreund,"Bernkastel-Kues, Germany",Germany,male,"Berlin, Germany","Auschwitz, Monowitz, Gross-Rosen, Dachau, Mühldorf",1945-05-02,"Mühldorf am Inn, Germany",United States,1946-09-20,"München, Germany",German,01:12:35.918,"9-137B, 9-138B, 9-139A",bassfreundJ_9-137B_9-138B_9-139_SLP.mp3,audio/mp3,"Dagmar PlattJulia Faisst, Transcription, David P. Boder, Translation, Eben E. English, Footnotes","<p>Boder described Jürgen Bassfreund as “a young man of twenty-two who looks much younger than his age due to undernourishment and somewhat stunted physical development caused by the concentration camp regime.”<sup>1</sup> Born into a middle-class Jewish family in northwestern Germany, Jürgen recalled his physician father breaking up Nazi meetings before 1933 by threatening Jewish boycotts of local farmers. This oversimplified complicated local conditions and exaggerated the economic power of Germany’s Jews. It correctly pointed out, however, that they were not passive during Hitler’s rise to power.</p><p>Like most small-town Jews, Jürgen’s family reacted to Nazi persecution by moving to bigger towns and cities, seeking the shelter of large Jewish communities with their own schools and other social services. He and his mother were put to work at slave labor in a Berlin munitions factory during the war, and the importance of that labor to the German economy accounts for the fact that they were among the last Jews to be deported from the German capital to Poland in 1943. Since Jürgen had been removed from the ammunition factory to work on the rail lines, he and his mother were deported separately. He never learned exactly what happened to her. Jürgen’s confidence in the Berlin Jewish Community Council, which organized the deportations for the Nazis, remained unshaken at the time of his interview. Although the question of just how much Jewish leaders knew about genocide at the time remains open, recent research suggests that German Jewish institutions probably did as much as was possible under the circumstances to make life bearable for the Jews.</p><p>Jürgen tells us that he saved his life in Auschwitz by playing a trick on the Germans. And so he did, although it could easily have backfired. What is most interesting about this episode is that it succeeded with the help of his capo, a non-Jew and, in fact, one of the professional criminals who as a group were notable for barbaric mistreatment of fellow inmates. Unfortunately Jürgen does not elaborate much on the capo’s motives.</p><p>Like so many other survivors of Auschwitz, Jürgen recalls that the worst happened to him after he was evacuated from the giant concentration camp. He was sent to Dachau, near Munich, and then farmed out to work on a new airfield in southern Bavaria in the last months of the war. Jürgen was half dead with typhus when the Americans approached in April 1945, which may have saved him from the worse fate that befell some of his healthier fellow workers who were evacuated by the SS at the last minute.</p><p>Following his recovery in an American hospital, Jürgen moved to Fürth in northern Bavaria where he lived on his own in a German home, worked in a movie house, and learned English. When he gave his interview he was living in the “Funkenkasernen,” a former German signal corps center near Munich, then a huge DP camp. One of the few refugees fortunate enough to have all his papers in perfect order and a relative in America prepared to sponsor him, he was just days away from his departure for New York.</p><p class=”footnote”>1. A version of this interview appears in Boder’s <em>I Did Not Interview the Dead</em>, under the pseudonym “Jorn Gastfreund.”</p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
kalman-eisenberg,eisenbergK,Kalman Eisenberg,"Starachowice, Poland",Germany,male,unknown,"Starachowice Ghetto, Starachowice Labor Camp, Auschwitz, Monowitz, Mauthausen, Flossenbürg",unknown,"",United States,1946-07-31,"Fontenay-aux-Roses, France",Yiddish,00:44:14.276,"9-12B, 9-13",eisenbergK_9-12B_9-13_SLP.mp3,audio/mp3,"David P. Boder, Translation","<p>Kalman Eisenberg experienced most of the Holocaust years in his hometown of Starachowice, an industrial center about ninety miles south of Warsaw. There the Jews were placed in an open ghetto between February 1941 and October 1942. Then those not needed for work were sent away, to Treblinka as it turned out, and the remaining 5,000 were pushed into barracks adjacent to the prewar ammunition factories, now renamed the Hermann Goring Works, to serve the needs of the German military.</p><p>Fourteen-year-old Eisenberg was one of the “lucky” ones, the only remaining member of his family not sent away with the others. He says little about what it was like in the Starachowice camp, but he has fairly vivid recollections of the prisoner revolt that occurred as the Germans prepared to liquidate the camp and move their slaves westward in July 1944. Fearful that they were about to be killed, the prisoners set fires and rushed the fences, only to be recaptured or shot down by the hundreds by the Ukrainian guards. Not one is known to have escaped and lived to tell about it. Kalman survived to be evacuated to Auschwitz-Birkenau with the others, and from there to Germany where he was liberated by the Americans somewhere in Bavaria.</p>",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
karl-josephy,josephyK,Karl Josephy,"Wien, Austria",Austria,male,unknown,"Les Milles, Septfonds, Noé",unknown,"Cantal department, France","",1946-08-23,"Paris, France",German,00:39:31.970,9-66,josephyK_9-66_SLP.mp3,audio/mp3,"Stefan Meuser, Transcription, Stefan Meuser, English Translation",none,none
lena-kuechler,kuechlerL,Lena Kuechler,"Wieliczka, Poland",Poland,female,"L'viv, Ukraine","",unknown,"Treblinka, Poland",Russia,1946-09-08,"Bellevue, France","German, Polish, Russian",01:12:54.413,"9-114, 9-115",kuechlerL_9-114_9-115_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), M. HolidayI. Laskawiec, Transcription (Polish), , Transcription (Russian), David P. Boder, English Translation","<p>Sometimes the best way to “pass” was to find refuge in some rural nook and hide behind a mask for the duration of the war. In 1942 Lena Kuechler found that living outside the ghetto in Warsaw with false papers left her open to blackmail and, finally, arrest. How she got to Warsaw is unclear. We know only that the young (born in 1912) woman from Wieliczka, near Kraków, studied at the Jagiellonian University at Kraków and taught school before the war. She and her husband evidently sought to melt into the urban masses of Warsaw during the early phases of the German occupation. They lived apart then, and relations between them must already have been strained. After the war they divorced.</p><p>Following an escape from German captors in 1942, Lena found a position as nanny on an aristocratic estate at Orchówek in eastern Poland, not far from Treblinka. Carefully playing the role of a non-Jew, she was able to record the attitudes of her employers; unlike some Polish aristocrats, these were no friends of the Jews. Following liberation by the Russians in 1944, she stayed on and founded a school on the estate, taking particular pleasure in revealing her Jewishness to her former mistress, who was now dependent upon her.</p><p>Once Warsaw fell, Lena sought in vain for her sister and then buried her grief in study for an advanced degree in educational psychology. Her life was eased in those months by the high position occupied by her brother in the new Polish government. When she agreed to help rehabilitate child survivors of the Holocaust who were then roaming about in Poland, she expected it to be a summer project. In fact it became the defining moment in her life. The hostility she encountered when she established a Jewish children’s home at a hill resort south of Kraków compelled her to lead her charges out toward Zion. This section of the interview is particularly interesting on the subject of Catholic attitudes
toward Jewish orphans who had been sheltered in church institutions during the Holocaust. For the priests and the sisters they were souls won for Jesus. For Kuechler they belonged to their people in Palestine. Attempts by church officials to extract payment from Jews for sheltering the orphans during the war must be viewed compassionately in light of the desperate poverty of these institutions at the end of the fighting.</p><p>By the time of her interview in Bellevue, a suburb of Paris, in September 1946, Kuechler had brought sixty youngsters between the ages of three and fifteen with her to France where they awaited certificates for emigration to Palestine. In Bellevue she directed a home for displaced Jewish orphans funded by French and American Jewish charities. Two years later Kuechler and her charges would sail for Israel.</p>
",From FRESH WOUNDS: EARLY NARRATIVES OF HOLOCAUST SURVIVAL by Donald L. Niewyk. Copyright (c) 1998 by the University of North Carolina Press. Used by permission of the publisher. www.uncpress.unc.edu
leon-moiseievich-shachnovski,shachnovskiL,Leon Moiseievich Shachnovski,"Kaunas, Lithuania",unknown,male,"Kaunas, Lithuania","Kaunas Ghetto, Stutthof, Dachau, Augsburg",1945-04-22,"Augsburg, Germany",United States,1946-07-29,"Paris, France",Russian,00:12:23.941,9-3A,shachnovskiL_9-3A_SLP.mp3,audio/mp3,"Olga Collin, Transcription, David P. Boder, English Translation",none,none
lina-stumachin,stumachinL,Lina Stumachin,"Zakopane, Poland",Poland,female,"Zakopane, Poland","Krakow Ghetto, Plaszow, Auschwitz, Ravensbrück, Malchow, Leipzig",unknown,"Freistaat Sachsen, Germany",Russia,1946-09-08,"Bellevue, France","Polish, German",00:31:57.231,9-118,stumachinL_9-118_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), M. HolidayI. Laskawiec, Transcription (Polish), S. PetersP. Gaensicke, Engish Translation (German), M. HolidayI. Laskawiec, English Translation (Polish)",none,none
lt-andre-richard,richardA,Lt. André Richard,"",France,male,"","",unknown,"","",1946-08-05,"Paris, France","French, German",00:31:22.906,9-28,richardA_9-28_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), A. Leclerc, Transcription (French), S. PetersP. Gaensicke, English Translation (German), A. Leclerc, English Translation (French), Elliot Lefkovitz, Footnotes","<p>André Richard was a talented singer in the renowned Paris Opera as well as an intrepid member of the French resistance during the German occupation. Mr. Richard shows himself to be a sincere and dedicated French patriot as he recounts his exploits as a lieutenant in the resistance movement during those dangerous times. He took part in a number of daring exploits at great personal risk—the risk of arrest, torture and death in a country where the Gestapo, Vichy French collaborators and the threat of denunciation by ordinary citizens put resisters in great peril. As he recounts, “I have never known any assignment that was not a dangerous one during the occupation . . . very often I came back alone when twenty of us had gone.”</p><p>Mr. Richard has great admiration for the proud, autocratic General Charles de Gaulle, leader of the Free French forces during the war. Like de Gaulle, Mr. Richard was above all a French nationalist. His nationalism is of the liberal variety, rejecting xenophobia, intolerance and racism. He does not reveal sympathy for any particular resistance political organization, whether it be communist, socialist or Catholic. Indeed, he appears to be apolitical and anti-clerical. Mr. Richard’s admiration for resistance leaders extends to those under whom he served, Colonel Goise, Major Borde, and Captain Allard, whose bravery and leadership qualities he is at pains to applaud.</p><p>Mr. Richard clearly shows sympathy for the plight of the Jews under German occupation, though there is no indication he was involved in Jewish rescue efforts. As might be expected, he scorns those who collaborated with the Germans but does not call for revenge or retribution. Rather he remains dedicated to the ideals of the French Revolution: liberty, equality and fraternity.</p><p>The interview illustrates the fact that, although they were a small minority, there was a core of active resisters in France who fought against the German occupiers for their own liberation. Though they could not defeat the enemy on their own, they did set a timeless example of courage and selflessness during a dark and hazardous time.</p>",Elliot Lefkovitz
ludwig-hamburger,hamburgerL,Ludwig Hamburger,"Katowice, Poland",Poland,male,unknown,"Auschwitz, Blechhammer, Gross-Rosen, Buchenwald",1945-04-11,"Weimar, Germany",United States,1946-08-26,"Genève, Switzerland",German,00:55:48.558,"9-72, 9-73A",hamburgerL_9-72_9-73A_SLP.mp3,audio/mp3,"Dagmar Platt, Transcription, David P. Boder, English Translation",none,none
malfis-marson,marsonM,Malfis Marson,"Paris, France",France,male,"","",unknown,"","",1946-07-30,"Paris, France","French, German, Russian",00:13:46.305,9-6B,marsonM_9-6B_SLP.mp3,audio/mp3,"S. PetersP. Gaensicke, Transcription (German), A. Leclerc, Transcription (French), , Transcription (Russian), S. PetersP. Gaensicke, English Translation (German), A. Leclerc, English Translation (French), , English Translation (Russian)",none,none
malka-johles,johlesM,Malka Johles,"Delyatyn, Poland",Poland,female,"Wien, Austria","",unknown,"","",1946-08-28,"Genève, Switzerland",German,00:53:38.755,"9-89, 9-90A",johlesM_9-89_9-90A_SLP.mp3,audio/mp3,"Dorothea Walter, Transcription, Dorothea Walter, English Translation, Elliot LefkovitzDorothea Walter, Footnotes","<p>Malka Johles, her husband and two children were living in Vienna Austria when Nazi Germany invaded the country and annexed Austria to the Third Reich in March, 1938. Following the Nazi takeover, they were subject to humiliation and persecution, their delicatessen store was put out of business, and they lived in a daily climate of fear and anxiety. Like so many Jews in Austria at the time, they prepared to flee the country. However, the Johles family was still in Vienna during the Kristallnacht pogrom of November 9-10, 1938. The Nazis robbed them of all their valuables, but did not incarcerate Mr. Johles (as they did with many Jewish males) because he and his wife were Polish nationals.</p><p>In the wake of Kristallnacht, the Johles family fled to Brussels, where they remained until Germany invaded Belgium on May 10th, 1940. They then fled to southern France, where they fortunately survived the roundups of Jews in the summer and fall of 1942. In late December 1942, the Johles family, along with Mr. Johles’s sister and niece, found refuge in Switzerland after a harrowing time crossing the border. Although Mr. Johles was sent to a labor camp, the rest of the family remained free supported by Swiss and international Jewish organizations.<sup>1</sup></p><p>When Boder interviewed Malka Johles in Genève, Switzerland on August 28, 1946, she and her family were hoping to immigrate to the United States with the help of Mrs. Johles’s relatives. Boder promised to contact these relatives on his return and do what he could to help with the immigration process.</p><p>Malka Johles’s interview illustrates that flight was itself a form of resistance to the Nazis’ efforts to murder every single Jewish man, woman and child. Successful flight, as demonstrated by Mrs. Johles’s account, involved initiative, risk-taking, and luck. The latter indeed played a crucial role in Jewish survival efforts. It should also be emphasized that Boder was not content just to interview his subjects. In Mrs. Johles’s case and others as well, he made note of American relatives whom he promised to contact in order to promote communication and encourage immigration prospects.</p><p class=”footnote”>1. For more about the experiences of the Johles family and of Jewish refugees in Switzerland, see Frieda Johles Forman, <em>Jewish Refugees in Switzerland During the Holocaust: A Memoir of Childhood and History</em> (Portland, OR: Vallentine Mitchell, 2009)</p>",Elliot Lefkovitz
manis-mizrachi,mizrachiM,Manis Mizrachi,"Thessaloníki, Greece",Spain,male,"Athênai, Greece",Bergen-Belsen,unknown,"",United States,1946-08-12,"Paris, France",English,00:23:12.404,9-43B,mizrachiM_9-43B_SLP.mp3,audio/mp3,"David Palmer, Transcription, Elliot Lefkovitz, Footnotes","<p>David Boder conducted this interview with Manis Mizrachi on August 12, 1946 in Paris at the offices of the American Jewish Joint Distribution Committee. The interview was conducted in English. Mr. Mizrarchi was born and raised in Salonika, Greece, the most prominent Sephardic Jewish religious and cultural community in Europe at the time. It numbered some 56,000 Jews on the eve of World War II. Mr. Mizrachi was the only child of a fairly well-to-do family. His father was a sales representative for several companies importing various goods from abroad.</p><p>The Germans conquered Salonika on April 9, 1941, but it was not until March 1943 hat the deportations to Auschwitz Birkenau began. These were proceeded by humiliation, slave labor for some and systematic expropriation. On the eve of the deportations, there was widespread poverty, malnutrition and disease in the community. </p><p>Before the German conquest of Greece, however, Mr. Mizrachi and his family had fled to Athens, the capital of the country. Athens became part of the Italian zone of occupation. The Jews in Athens were treated by the Italians in a benevolent manner. Mr. Mizarchi’s family also relied for safety on Manis’ fathers Spanish citizenship. Spain, under fascist dictator Francisco Franco, remained neutral during World War II. The Germans occupied Athens after the fall of Benito Mussolini’s fascist Italian government in September 1943. In April 1944, those Jews in Athens who held Spanish citizenship were deported in a grueling and ghastly journey to Bergen Belsen concentration camp in Germany where they were interned in the so-called neutral camp for prisoners who were nationals of neutral countries. As English troops were closing in on Bergen Belsen in April 1945, Mr. Mizrachi and his family were deported to the Theresienstadt camp in Czechoslovakia but were liberated by American soldiers from the deportation train. Tragically, Mr. Mizrachi’s  father died of typhus on the family’s day of liberation, and his mother died shortly thereafter. Mr. Mizrachi also contracted typhus but survived. At  the time of the interview, he was studying radio in hopes of emigrating to the United States.</p><p>Mr. Mizrachi’s story reveals the suffering and loss experienced  even by those Jews who were fortunate to possess citizenship from neutral countries. Though Mr. Mizrachi luckily survived, he had experienced great tribulations and was alone in the world.</p>",Elliot Lefkovitz
